frame,new_id,old_id
10,13,15
11,15,13
12,13,15
15,15,13
16,24,8
16,13,15
22,27,22
23,22,27
25,24,8
37,16,19
59,40,19
60,19,40
67,40,19
69,40,19
96,50,40
101,50,40
102,51,33
121,52,51
122,60,48
125,51,52
125,61,39
126,39,61
137,57,20
137,39,61
138,61,39
141,39,61
142,60,48
147,61,39
161,39,61
171,75,60
173,60,75
182,74,50
182,78,65
185,80,61
185,65,78
187,78,65
190,61,80
196,81,60
197,60,81
198,78,65
202,80,61
202,88,39
205,60,81
205,61,80
205,39,88
207,80,61
210,60,81
210,61,80
212,80,61
247,101,65
248,65,101
249,104,93
250,105,84
251,84,105
252,105,84
255,105,84
261,109,108
271,106,60
279,104,93
279,111,108
280,108,111
280,93,104
281,111,108
282,104,93
283,111,108
284,104,93
284,108,111
291,93,104
301,104,93
302,118,103
303,103,118
304,108,111
304,118,103
305,103,118
306,111,108
308,103,118
309,118,103
310,103,118
316,123,108
318,111,123
321,123,111
324,108,123
329,103,118
331,125,112
336,129,113
338,113,129
347,136,112
349,123,108
349,112,136
352,108,123
352,112,136
353,123,108
357,136,112
358,112,136
372,141,109
380,137,141
381,109,132
383,-1,51
388,148,136
390,137,141
395,151,140
397,140,151
400,109,132
400,151,140
401,141,137
402,109,132
422,151,155
431,155,151
434,151,155
435,155,151
436,151,155
449,151,155
450,149,160
464,155,151
466,164,158
469,164,158
471,158,164
473,170,177
473,158,164
475,177,170
