frame,child,parent1,parent2
6,15,13,10
9,20,12,18
21,8,24,25
24,19,6,16
49,19,16,30
85,43,24,35
88,24,35,43
107,50,40,54
127,61,39,59
135,66,40,50
136,48,64,60
136,20,57,67
138,20,57,67
152,70,20,7
159,39,59,61
190,65,77,78
206,81,72,60
208,60,81,72
209,65,85,78
209,84,73,82
244,101,65,94
246,65,94,101
257,106,80,60
277,93,102,104
295,111,113,108
304,116,80,60
306,118,117,103
309,116,80,60
312,116,60,80
317,116,60,80
320,118,121,103
333,112,125,128
341,108,129,123
359,136,112,128
367,144,116,133
373,137,141,135
375,141,137,132
376,137,141,135
377,141,137,132
382,141,137,109
385,148,143,136
413,155,151,154
446,155,163,151
447,160,162,149
